identifier,title,short_desc,description,category,sub-category,type,price,icon,tags,labels,from-version,url,deeplink,ranks,validity-range,TTL
MH12,Ajax Full-Zip Sweatshirt ,This is a variable product called a Ajax Full-Zip Sweatshirt ,"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.",Clothing-Men,Hoodies,variable,69,http://eimages.valtim.com/acme-images/product/m/h/mh12-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MH13,Marco Lightweight Active Hoodie,This is a variable product called a Marco Lightweight Active Hoodie,"For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona&reg; fibers pull moisture away.",Clothing-Men,Hoodies,variable,74,http://eimages.valtim.com/acme-images/product/m/h/mh13-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ01,Beaumont Summit Kit,This is a variable product called a Beaumont Summit Kit,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.",Clothing-Men,Jackets,variable,42,http://eimages.valtim.com/acme-images/product/m/j/mj01-yellow_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ02,Hyperion Elements Jacket,This is a variable product called a Hyperion Elements Jacket,"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech&trade; insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.",Clothing-Men,Jackets,variable,51,http://eimages.valtim.com/acme-images/product/m/j/mj02-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ03,Montana Wind Jacket,This is a variable product called a Montana Wind Jacket,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.",Clothing-Men,Jackets,variable,49,http://eimages.valtim.com/acme-images/product/m/j/mj03-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ04,Kenobi Trail Jacket,This is a variable product called a Kenobi Trail Jacket,"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.",Clothing-Men,Jackets,variable,47,http://eimages.valtim.com/acme-images/product/m/j/mj04-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ06,Jupiter All-Weather Trainer ,This is a variable product called a Jupiter All-Weather Trainer ,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.",Clothing-Men,Jackets,variable,56.99,http://eimages.valtim.com/acme-images/product/m/j/mj06-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ07,Orion Two-Tone Fitted Jacket,This is a variable product called a Orion Two-Tone Fitted Jacket,"While you're getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.",Clothing-Men,Jackets,variable,72,http://eimages.valtim.com/acme-images/product/m/j/mj07-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ08,Lando Gym Jacket,This is a variable product called a Lando Gym Jacket,"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.",Clothing-Men,Jackets,variable,99,http://eimages.valtim.com/acme-images/product/m/j/mj08-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ09,Taurus Elements Shell,This is a variable product called a Taurus Elements Shell,"What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&reg; jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.",Clothing-Men,Jackets,variable,65,http://eimages.valtim.com/acme-images/product/m/j/mj09-yellow_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ10,Mars HeatTech&trade; Pullover,This is a variable product called a Mars HeatTech&trade; Pullover,"The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it categorys a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.",Clothing-Men,Jackets,variable,66,http://eimages.valtim.com/acme-images/product/m/j/mj10-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ11,Typhon Performance Fleece-lined Jacket,This is a variable product called a Typhon Performance Fleece-lined Jacket,"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.",Clothing-Men,Jackets,variable,60,http://eimages.valtim.com/acme-images/product/m/j/mj11-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MJ12,Proteus Fitness Jackshirt,This is a variable product called a Proteus Fitness Jackshirt,"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.",Clothing-Men,Jackets,variable,45,http://eimages.valtim.com/acme-images/product/m/j/mj12-orange_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP01,Caesar Warm-Up Pant,This is a variable product called a Caesar Warm-Up Pant,Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech&trade; fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.,Clothing-Men,Pants,variable,35,http://eimages.valtim.com/acme-images/product/m/p/mp01-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP02,Viktor LumaTech&trade; Pant,This is a variable product called a Viktor LumaTech&trade; Pant,"You'll love the new Viktor LumaTech&trade; Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.",Clothing-Men,Pants,variable,46,http://eimages.valtim.com/acme-images/product/m/p/mp02-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP03,Geo Insulated Jogging Pant,This is a variable product called a Geo Insulated Jogging Pant,"In the cold, even the toughest guys shiver, unless they're in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.",Clothing-Men,Pants,variable,51,http://eimages.valtim.com/acme-images/product/m/p/mp03-black_main.jpg,,{},2,,,"{""overall"":100,""category"":998}",{},
MP04,Supernova Sport Pant,This is a variable product called a Supernova Sport Pant,Turn the corner and open it up -- your driveway is two blocks away. The Supernova Sport Pant gets you there with key categorys like moisture-wicking LumaTech&trade; fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.,Clothing-Men,Pants,variable,45,http://eimages.valtim.com/acme-images/product/m/p/mp04-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP05,Kratos Gym Pant,This is a variable product called a Kratos Gym Pant,"Like it's namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.",Clothing-Men,Pants,variable,57,http://eimages.valtim.com/acme-images/product/m/p/mp05-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP06,Mithra Warmup Pant,This is a variable product called a Mithra Warmup Pant,"When you're not sure you're up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.",Clothing-Men,Pants,variable,28,http://eimages.valtim.com/acme-images/product/m/p/mp06-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP07,Thorpe Track Pant,This is a variable product called a Thorpe Track Pant,"Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.",Clothing-Men,Pants,variable,68,http://eimages.valtim.com/acme-images/product/m/p/mp07-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP08,Zeppelin Yoga Pant,This is a variable product called a Zeppelin Yoga Pant,"Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you'll get all the comfort and versatility you need.",Clothing-Men,Pants,variable,82,http://eimages.valtim.com/acme-images/product/m/p/mp08-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP09,Livingston All-Purpose Tight,This is a variable product called a Livingston All-Purpose Tight,"It's not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.",Clothing-Men,Pants,variable,75,http://eimages.valtim.com/acme-images/product/m/p/mp09-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP10,Orestes Yoga Pant ,This is a variable product called a Orestes Yoga Pant ,The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.,Clothing-Men,Pants,variable,66,http://eimages.valtim.com/acme-images/product/m/p/mp10-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP11,Aether Gym Pant ,This is a variable product called a Aether Gym Pant ,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.",Clothing-Men,Pants,variable,74,http://eimages.valtim.com/acme-images/product/m/p/mp11-brown_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MP12,Cronus Yoga Pant ,This is a variable product called a Cronus Yoga Pant ,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.",Clothing-Men,Pants,variable,48,http://eimages.valtim.com/acme-images/product/m/p/mp12-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS01,Aero Daily Fitness Tee,This is a variable product called a Aero Daily Fitness Tee,Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.,Clothing-Men,Tees,variable,24,http://eimages.valtim.com/acme-images/product/m/s/ms01-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS02,Ryker LumaTech&trade; Tee (V-neck),This is a variable product called a Ryker LumaTech&trade; Tee (V-neck),"Don't be fooled by its classic style; the Ryker LumaTech&trade; Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.",Clothing-Men,Tees,variable,28,http://eimages.valtim.com/acme-images/product/m/s/ms02-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS03,Balboa Persistence Tee,This is a variable product called a Balboa Persistence Tee,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.",Clothing-Men,Tees,variable,29,http://eimages.valtim.com/acme-images/product/m/s/ms03-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS04,Gobi HeatTec&reg; Tee,This is a variable product called a Gobi HeatTec&reg; Tee,"When the training gets intense, the Gobi HeatTec&reg; Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that's sure to keep you moving.",Clothing-Men,Tees,variable,29,http://eimages.valtim.com/acme-images/product/m/s/ms04-orange_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS05,Helios EverCool&trade; Tee,This is a variable product called a Helios EverCool&trade; Tee,"Pumping iron or dialing the track, you've got cool comfort on your side in our short-sleeve Helios EverCool&trade; Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.",Clothing-Men,Tees,variable,24,http://eimages.valtim.com/acme-images/product/m/s/ms05-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS06,Zoltan Gym Tee,This is a variable product called a Zoltan Gym Tee,"This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.",Clothing-Men,Tees,variable,29,http://eimages.valtim.com/acme-images/product/m/s/ms06-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS07,Deion Long-Sleeve EverCool&trade; Tee,This is a variable product called a Deion Long-Sleeve EverCool&trade; Tee,"When you're training, ordinary tees don't cut it. That's why the Dion Long-Sleeve EverCool&trade; Tee categorys revolutionary Cocona&reg; fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.",Clothing-Men,Tees,variable,39,http://eimages.valtim.com/acme-images/product/m/s/ms07-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS08,Strike Endurance Tee,This is a variable product called a Strike Endurance Tee,"While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.",Clothing-Men,Tees,variable,39,http://eimages.valtim.com/acme-images/product/m/s/ms08-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS09,Ryker LumaTech&trade; Tee (Crew-neck),This is a variable product called a Ryker LumaTech&trade; Tee (Crew-neck),The crew-neck Ryker LumaTech&trade; Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.,Clothing-Men,Tees,variable,32,http://eimages.valtim.com/acme-images/product/m/s/ms09-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS10,Logan  HeatTec&reg; Tee,This is a variable product called a Logan  HeatTec&reg; Tee,"Soft and lightweight, the Logan HeatTec&reg; Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.",Clothing-Men,Tees,variable,24,http://eimages.valtim.com/acme-images/product/m/s/ms10-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS11,Atomic Endurance Running Tee (V-neck),This is a variable product called a Atomic Endurance Running Tee (V-neck),Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance categorys.,Clothing-Men,Tees,variable,28,http://eimages.valtim.com/acme-images/product/m/s/ms11-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MS12,Atomic Endurance Running Tee (Crew-Neck),This is a variable product called a Atomic Endurance Running Tee (Crew-Neck),"Like it's v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing categorys: ultra-lightweight, moisture-wicking Cocona&reg; fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.",Clothing-Men,Tees,variable,29,http://eimages.valtim.com/acme-images/product/m/s/ms12-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH01,Cobalt CoolTech&trade; Fitness Short,This is a variable product called a Cobalt CoolTech&trade; Fitness Short,"It's not rocket surgery: the hotter your conditions, the more you need to stay cool. That's why the Cobalt CoolTech&trade; Fitness Short categorys built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.",Clothing-Men,Shorts,variable,44,http://eimages.valtim.com/acme-images/product/m/s/msh01-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH02,Apollo Running Short,This is a variable product called a Apollo Running Short,"Fleet of foot or slow and steady, you'll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.",Clothing-Men,Shorts,variable,32.5,http://eimages.valtim.com/acme-images/product/m/s/msh02-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH03,Meteor Workout Short,This is a variable product called a Meteor Workout Short,"Step into the Meteor Workout Short for an incredibly lightweight fitness experience. Its breathable construction and an inner brief provide additional comfort and support, while the adjustable waistband offers the perfect fit to take you to the finish.",Clothing-Men,Shorts,variable,32.5,http://eimages.valtim.com/acme-images/product/m/s/msh03-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH04,Torque Power Short,This is a variable product called a Torque Power Short,"Take a turn in the Torque Power Short and enjoy the smooth, motion-friendly stretch and sweat-wicking, UV-protective material. You'll stay cool, dry and energized miles later.",Clothing-Men,Shorts,variable,32.5,http://eimages.valtim.com/acme-images/product/m/s/msh04-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH05,Hawkeye Yoga Short,This is a variable product called a Hawkeye Yoga Short,"What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.",Clothing-Men,Shorts,variable,29,http://eimages.valtim.com/acme-images/product/m/s/msh05-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH06,Lono Yoga Short,This is a variable product called a Lono Yoga Short,"Some shorts are &ldquo;all-purpose,&rdquo; while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.",Clothing-Men,Shorts,variable,32,http://eimages.valtim.com/acme-images/product/m/s/msh06-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH07,Rapha  Sports Short,This is a variable product called a Rapha  Sports Short,"For those about to sweat, we support you with the Rapha Sports Short. The compression-fit liner surrounds your muscles with the stimulation they need to find your high gear, while moisture-wicking performance fabric helps prevents sweat build-up.",Clothing-Men,Shorts,variable,35,http://eimages.valtim.com/acme-images/product/m/s/msh07-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH08,Orestes Fitness Short,This is a variable product called a Orestes Fitness Short,"You're out of excuses not to run, lift, or play when you own a pair of the Orestes Fitness Short. You won't complain about the high-performance polyester wicking fabric, reflective safety trim or seamless built-in comfort brief, either.",Clothing-Men,Shorts,variable,35,http://eimages.valtim.com/acme-images/product/m/s/msh08-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH09,Troy Yoga Short,This is a variable product called a Troy Yoga Short,"The versatile, all-purpose Troy Yoga Short is knee-lengthed with an elastic waistband with drawstring, making it comfortably flexible. The removable LumaTech&trade; wicking liner is also bacteria resistant.",Clothing-Men,Shorts,variable,24,http://eimages.valtim.com/acme-images/product/m/s/msh09-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH10,Sol Active Short,This is a variable product called a Sol Active Short,"You'll let your fear go and push your limits in your new Sol Active Short. Featuring ultra-breathable performance fabric and a flat comfort-fit waistband, the Sol Active Short is perfect for high-intensity circuits or high-heat bikram.",Clothing-Men,Shorts,variable,32,http://eimages.valtim.com/acme-images/product/m/s/msh10-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH11,Arcadio Gym Short,This is a variable product called a Arcadio Gym Short,"The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.",Clothing-Men,Shorts,variable,20,http://eimages.valtim.com/acme-images/product/m/s/msh11-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MSH12,Pierce Gym Short,This is a variable product called a Pierce Gym Short,"The Pierce Gym Short is similar to our Arcadio Gym Short, but designed with a fitted, tapered look. A flat waistband with an adjustable drawstring adds comfort, with zippered pockets for safe, easy storage.",Clothing-Men,Shorts,variable,27,http://eimages.valtim.com/acme-images/product/m/s/msh12-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT01,Erikssen CoolTech&trade; Fitness Tank,This is a variable product called a Erikssen CoolTech&trade; Fitness Tank,"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech&trade; Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.",Clothing-Men,Tanks,variable,29,http://eimages.valtim.com/acme-images/product/m/t/mt01-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT02,Tristan Endurance Tank,This is a variable product called a Tristan Endurance Tank,"Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul.",Clothing-Men,Tanks,variable,29,http://eimages.valtim.com/acme-images/product/m/t/mt02-white_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT03,Primo Endurance Tank,This is a variable product called a Primo Endurance Tank,"Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball &ndash; this breathable mesh top will keep you cool during all your activities.",Clothing-Men,Tanks,variable,29,http://eimages.valtim.com/acme-images/product/m/s/msh03-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT04,Helios Endurance Tank,This is a variable product called a Helios Endurance Tank,"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.",Clothing-Men,Tanks,variable,32,http://eimages.valtim.com/acme-images/product/m/t/mt04-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT05,Rocco Gym Tank,This is a variable product called a Rocco Gym Tank,"Weights? Heavy Bag? Bikram? However you get sweaty, you'll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.",Clothing-Men,Tanks,variable,24,http://eimages.valtim.com/acme-images/product/m/t/mt05-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT06,Vulcan Weightlifting Tank,This is a variable product called a Vulcan Weightlifting Tank,"The Olympic styled Vulcan Weightlifting Tank categorys polyester stretch and flex. Hit the rack in sleeveless style and unleash your personal best. This tank is designed to max performance, comfort and range of motion.",Clothing-Men,Tanks,variable,28,http://eimages.valtim.com/acme-images/product/m/t/mt06-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
